Scenario,Dispatch Objective,Ownership,Rate Class,Technology,Investment tax credit (%),Capital Cost
1,ToU_arbitrage,customer,time_of_use,BESS,0,low
2,ToU_arbitrage,customer,time_of_use,BESS,0,high
3,ToU_arbitrage,customer,time_of_use,BESS,26,low
4,ToU_arbitrage,customer,time_of_use,BESS,26,high
5,ToU_arbitrage,customer,general_service,BESS,0,low
6,ToU_arbitrage,customer,general_service,BESS,0,high
7,ToU_arbitrage,customer,general_service,BESS,26,low
8,ToU_arbitrage,customer,general_service,BESS,26,high
9,ToU_arbitrage,customer,net_metering,BESS_PV,0,low
10,ToU_arbitrage,customer,net_metering,BESS_PV,0,high
11,ToU_arbitrage,customer,net_metering,BESS_PV,26,low
12,ToU_arbitrage,customer,net_metering,BESS_PV,26,high
13,ToU_arbitrage,utility,time_of_use,BESS,0,low
14,ToU_arbitrage,utility,time_of_use,BESS,0,high
15,ToU_arbitrage,utility,time_of_use,BESS,26,low
16,ToU_arbitrage,utility,time_of_use,BESS,26,high
17,ToU_arbitrage,utility,general_service,BESS,0,low
18,ToU_arbitrage,utility,general_service,BESS,0,high
19,ToU_arbitrage,utility,general_service,BESS,26,low
20,ToU_arbitrage,utility,general_service,BESS,26,high
21,ToU_arbitrage,utility,net_metering,BESS_PV,0,low
22,ToU_arbitrage,utility,net_metering,BESS_PV,0,high
23,ToU_arbitrage,utility,net_metering,BESS_PV,26,low
24,ToU_arbitrage,utility,net_metering,BESS_PV,26,high
25,LMP_arbitrage,customer,time_of_use,BESS,0,low
26,LMP_arbitrage,customer,time_of_use,BESS,0,high
27,LMP_arbitrage,customer,time_of_use,BESS,26,low
28,LMP_arbitrage,customer,time_of_use,BESS,26,high
29,LMP_arbitrage,customer,general_service,BESS,0,low
30,LMP_arbitrage,customer,general_service,BESS,0,high
31,LMP_arbitrage,customer,general_service,BESS,26,low
32,LMP_arbitrage,customer,general_service,BESS,26,high
33,LMP_arbitrage,customer,net_metering,BESS_PV,0,low
34,LMP_arbitrage,customer,net_metering,BESS_PV,0,high
35,LMP_arbitrage,customer,net_metering,BESS_PV,26,low
36,LMP_arbitrage,customer,net_metering,BESS_PV,26,high
37,LMP_arbitrage,utility,time_of_use,BESS,0,low
38,LMP_arbitrage,utility,time_of_use,BESS,0,high
39,LMP_arbitrage,utility,time_of_use,BESS,26,low
40,LMP_arbitrage,utility,time_of_use,BESS,26,high
41,LMP_arbitrage,utility,general_service,BESS,0,low
42,LMP_arbitrage,utility,general_service,BESS,0,high
43,LMP_arbitrage,utility,general_service,BESS,26,low
44,LMP_arbitrage,utility,general_service,BESS,26,high
45,LMP_arbitrage,utility,net_metering,BESS_PV,0,low
46,LMP_arbitrage,utility,net_metering,BESS_PV,0,high
47,LMP_arbitrage,utility,net_metering,BESS_PV,26,low
48,LMP_arbitrage,utility,net_metering,BESS_PV,26,high
49,DR,customer,time_of_use,BESS,0,low
50,DR,customer,time_of_use,BESS,0,high
51,DR,customer,time_of_use,BESS,26,low
52,DR,customer,time_of_use,BESS,26,high
53,DR,customer,general_service,BESS,0,low
54,DR,customer,general_service,BESS,0,high
55,DR,customer,general_service,BESS,26,low
56,DR,customer,general_service,BESS,26,high
57,DR,customer,net_metering,BESS_PV,0,low
58,DR,customer,net_metering,BESS_PV,0,high
59,DR,customer,net_metering,BESS_PV,26,low
60,DR,customer,net_metering,BESS_PV,26,high
61,DR,utility,time_of_use,BESS,0,low
62,DR,utility,time_of_use,BESS,0,high
63,DR,utility,time_of_use,BESS,26,low
64,DR,utility,time_of_use,BESS,26,high
65,DR,utility,general_service,BESS,0,low
66,DR,utility,general_service,BESS,0,high
67,DR,utility,general_service,BESS,26,low
68,DR,utility,general_service,BESS,26,high
69,DR,utility,net_metering,BESS_PV,0,low
70,DR,utility,net_metering,BESS_PV,0,high
71,DR,utility,net_metering,BESS_PV,26,low
72,DR,utility,net_metering,BESS_PV,26,high
